sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
ASHI,ASHIKA,Ashika Credit Capital Ltd,Information Technology,IT Services & Consulting,1609.20445658,359.8,-31.258827827894333,-20.25695004623526,3.6557042562984154,-2.4390243902439024,-0.7311353290108918
KALAM,KALAMANDIR,Sai Silks (Kalamandir) Ltd,Consumer Discretionary,Textiles,1598.74714195,108.5,18.72288490397006,7.7814380943267984,1.4126078107300954,-29.65508298755187,-3.7437899219304462
NDRA,NDRAUTO,NDR Auto Components Ltd,Consumer Discretionary,Auto Parts,1594.9235597200002,670.55,29.945992484416053,19.163443375011255,5.275788295855247,-18.17072426627617,-1.19354601046195
VIDH,VIDHIING,Vidhi Specialty Food Ingredients Ltd,Materials,Commodity Chemicals,1591.2477,318.6,36.66469354838708,14.93179198706371,5.284956989604439,-7.585206671501081,2.3450048185030554
NEXTE,NEXT50ETF,Kotak Nifty Next 50 ETF,ETF,Equity,1588.663911968,68.32,,,,-3.7746478873239533,-0.6254545454545554
RAUT,RICOAUTO,Rico Auto Industries Ltd,Consumer Discretionary,Auto Parts,1581.48165,116.9,73.90101168224345,2.9398431167831887,2.157929305333824,-15.216129968088186,-2.6076814129800847
BLI,BLIL,Balmer Lawrie Investments Ltd,Industrials,Conglomerates,1570.01283637,70.73,9.14872581067535,8.284974943756232,0.730816383358935,-3.1506849315068455,-0.15527950310558924
UJAA,UEL,Ujaas Energy Ltd,Utilities,Renewable Energy,1569.825475152,117.68,177.18120487042907,10.147749398694298,18.364827739260647,-12.952141430579179,0.0
SHRI,SEPC,SEPC Ltd,Industrials,Construction & Engineering,1561.188219616,8.11,62.875079324043455,1.8260239670242002,1.035483567322195,-17.075664621676893,-2.2891566265060392
ASAL,ASALCBR,Associated Alcohols & Breweries Ltd,Consumer Staples,Alcoholic Beverages,1560.849408,822.4,19.17034399410464,,3.0002487467322774,-14.458081963802789,1.2932627170833846
ACLL,ALLCARGO,Allcargo Logistics Ltd,Industrials,Logistics,1547.205158477,10.33,43.46081905834093,1.3536970950649545,0.5859870919945915,-3.7278657968313174,3.5070140280561084
AWH,AWHCL,Antony Waste Handling Cell Ltd,Industrials,Environmental Services,1547.10776493,545.3,18.12450521239452,11.102728857209776,1.8885131770830792,7.184275184275175,-2.9456260567767316
STALL,STALLION,Stallion India Fluorochemicals Ltd,Materials,Specialty Chemicals,1544.700671142,194.73,47.808748719962836,15.164742326105332,5.134454615728768,-16.42847946440067,-2.0522106533876627
MOBI,MOBIKWIK,One MobiKwik Systems Ltd,Financials,Payment Infrastructure,1542.88565367,196.15,-12.694468106549275,-32.357169479793434,2.6210577655143132,-15.167373064613784,-2.655086848635233
GNAA,GNA,GNA Axles Ltd,Consumer Discretionary,Auto Parts,1539.713142,358.65,14.379091725812453,12.587281062654306,1.7109444639523512,14.73128598848367,2.3106546854942134
SULA,SULA,Sula Vineyards Ltd,Consumer Staples,Alcoholic Beverages,1539.219642983,182.27,21.926205740498606,12.356218152375739,2.625445004832245,-19.427990451772608,-3.2588503794915273
NELC,NELCO,Nelco Ltd,Information Technology,Communication & Networking,1520.504084,666.35,159.5492218258121,7.579131541275699,11.888225832681778,-9.222804986036364,2.4365872405841693
MOM,MOL,Meghmani Organics Ltd,Materials,Commodity Chemicals,1515.458383349,59.59,-143.10277463163175,-0.6960350975205074,1.000130923636208,-7.166225268733439,3.1504240955513247
CSFL,COSMOFIRST,Cosmo First Ltd,Materials,Packaging,1513.617668975,584.45,11.349011539139244,9.479235520302488,1.032178603121185,-13.20264349892329,-1.0413139180494373
HITC,HITECH,Hi-Tech Pipes Ltd,Industrials,Building Products - Pipes,1509.5831125979998,74.47,20.69055801258241,7.957551002601188,1.2006069213806816,-18.380096448925904,-0.8124667021843359
TALB,TALBROAUTO,Talbros Automotive Components Ltd,Consumer Discretionary,Auto Parts,1500.91996725,243.15,15.894524698189135,16.144226084131883,2.372470863761381,-11.436896740120197,-2.2709003215434107
ALLT,ALLTIME,All Time Plastics Ltd,Materials,Plastic Products,1500.7831939799999,229.1,31.735741044195382,,6.032571725942598,-12.707182320441987,-0.02181976871045663
SHANG,SHANTIGOLD,Shanti Gold International Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",1500.245664,208.09,26.86205307072512,44.852232573080684,9.846069856270919,9.920236648882785,0.28917056243674116
RIR,RIR,RIR Power Electronics Ltd,Information Technology,Electronic Equipments,1498.348292,188.3,196.63363412073505,8.587850783275098,13.07231104519281,-10.917759237187129,-2.080083203328133
BTAD,BETA,Beta Drugs Ltd,Health Care,Pharmaceuticals,1496.92126437,1482.9,35.28810147029701,23.952569169960487,7.595115248718859,-3.0847657015881196,-1.1531795760565227
NIB,NIBE,Nibe Ltd,Industrials,Aerospace & Defense Equipments,1494.79122084,1014.9,55.42422027586203,13.762310557738436,6.644993202222716,-11.230648123852006,-1.5424912689173436
ADVA,ADVAIT,Advait Energy Transitions Ltd,Information Technology,Electronic Equipments,1486.2783150950002,1544.0,48.00640552632421,21.88759278897141,7.144881814705318,5.518537502135657,10.034207525655642
AIMT,AIMTRON,Aimtron Electronics Ltd,Information Technology,Electronic Equipments,1484.7881569649999,720.45,57.931648730589096,24.801625701567662,9.58051462746806,-9.943749999999994,-2.3317291398359563
ORIE,ORIENTTECH,Orient Technologies Ltd,Information Technology,IT Services & Consulting,1478.15690932,322.7,29.305251969072216,19.976633200657403,4.483611105678234,5.677284906222102,-3.238380809595206
RAJE,RAJESH,Rajesh Power Services Ltd,Industrials,Construction & Engineering,1473.81499824,818.45,15.786364591259618,,5.593862672182791,-24.495412844036696,3.903770470991494
KRISN,KRISHNADEF,Krishna Defence & Allied Industries Ltd,Industrials,Industrial Machinery,1472.28408081,986.85,66.4388123109205,18.628110289172856,11.198631481022286,21.83333333333334,3.189208971610812
SPIC,SPIC,Southern Petrochemical Industries Corporation Ltd,Materials,Fertilizers & Agro Chemicals,1470.894146928,72.23,9.451832328286851,13.684067057380405,1.2269209216565877,-11.602007098274374,-2.1406313507654766
GAND,GANDHAR,Gandhar Oil Refinery (INDIA) Ltd,Energy,Oil & Gas - Refining & Marketing,1465.2565641,149.7,18.306553774362712,6.371216493204153,1.1367919097087529,-0.3660565723793753,-2.169651026009686
LKPM,LKPFIN,LKP Finance Ltd,Financials,Investment Banking & Brokerage,1463.965245,953.0,817.8576787709495,0.5086527805404794,4.2213530709342555,-3.8383838383838382,-3.1553274731974956
JINP,JINDALPHOT,Jindal Photo Ltd,Information Technology,Electronic Equipments,1459.14429024,1422.4,6.458105205983889,13.517847100070599,1.419773958374281,-5.1859752033062225,-3.000545553737043
GARU,GARUDA,Garuda Construction and Engineering Ltd,Industrials,Construction & Engineering,1455.4519701059999,156.43,29.231813016790518,,4.379538320663196,-20.8910690806109,-2.717661691542291
NAVR,NAVKARCORP,Navkar Corporation Ltd,Industrials,Logistics,1454.466846003,96.63,-32.1003497241889,-2.321803740712274,0.754199838216947,-4.798029556650251,-1.6688714765442156
BLSE,BLSE,BLS E-Services Ltd,Information Technology,IT Services & Consulting,1454.182049157,160.41,27.667086171175825,10.995355842851751,2.805784612867561,-22.507246376811594,-2.5929074568860884
VNDY,VINDHYATEL,Vindhya Telelinks Ltd,Communication Services,Telecom Equipments,1453.50834695,1226.5,7.165787551518443,5.033631577575967,0.3557228209379673,-13.137393767705383,0.8386088958316242
JAGP,JAGRAN,Jagran Prakashan Ltd,Communication Services,Publishing,1449.57745152,66.6,11.071392740548374,6.1489113895516,0.6987632871308128,-6.722689075630267,-0.11997600479905893
SURYO,SURYODAY,Suryoday Small Finance Bank Ltd,Financials,Private Banks,1445.01015728,135.95,12.569677777313865,6.160689165472051,0.7498405145997332,-4.233586925894632,3.2583928300167035
DYN,DYCL,Dynamic Cables Ltd,Industrials,Cables,1436.31403032,296.4,22.161919924702996,22.050217746325515,3.8415417109845142,-11.32385938668662,-4.878048780487819
PCHM,PUNJABCHEM,Punjab Chemicals and Crop Protection Ltd,Materials,Diversified Chemicals,1433.2041828,1168.8,36.81490323144112,11.20497359218269,3.9297090367689402,-2.4536805207811794,5.975156405839138
INTT,INDOTECH,Indo Tech Transformers Ltd,Industrials,Heavy Electrical Equipments,1432.3194,1348.7,22.418522460478936,25.663272478962078,5.101760997328586,-13.16636621169199,11.324803962030543
PRCM,PRECAM,Precision Camshafts Ltd,Consumer Discretionary,Auto Parts,1431.62650512,150.72,26.462597137153402,7.0220981925560615,1.8064687761766562,-7.940386024920596,9.878253262375164
ESAF,ESAFSFB,ESAF Small Finance Bank Limited,Financials,Private Banks,1426.161029112,27.66,-2.735305681182991,-23.481593572387215,0.7317211098288912,5.371428571428571,-1.8452803406671383
YASH,YASHO,Yasho Industries Ltd,Materials,Specialty Chemicals,1419.96407815,1201.1,232.4000127905086,1.7105023725871604,3.3832834837979506,-16.35211365693991,1.9869236647703035
DLIL,DLINKINDIA,D Link (India) Limited,Information Technology,Technology Hardware,1414.69074825,398.45,13.567572151625605,22.89987481606744,2.975227130433869,-7.723483094025017,-1.0922179471267306
KIL,3BBLACKBIO,3B Blackbio DX Ltd,Health Care,Biotechnology,1412.2783485,1645.5,29.61372087439716,19.211634137007266,5.211359219557195,17.142857142857142,-1.2245632991175994
DOLA,DOLATALGO,Dolat Algotech Ltd,Financials,Investment Banking & Brokerage,1410.64,80.15,6.5477163015224695,23.97680669089127,1.40493596000239,-6.802325581395342,-6.125556336378532
