sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
SGR,SGRL,Shree Ganesh Remedies Ltd,Health Care,Pharmaceuticals,517.4202741,423.0,22.437999744145706,17.257249766136574,3.5644824614218797,-2.264325323475049,4.949758094529212
HINS,HMVL,Hindustan Media Ventures Ltd,Communication Services,Publishing,516.368102704,71.08,6.638828782514791,5.162309433260984,0.3365474400245061,-3.554952510176397,1.195899772209572
ARTS,ARTSON,Artson Ltd,Industrials,Construction & Engineering,510.9728,136.1,146.41054441260817,124.64285714285666,108.9494243070363,0.036751194413805914,-1.661849710982667
WIM,WIMPLAST,Wim Plast Ltd,Consumer Discretionary,Housewares,510.9230184,424.95,8.944730714285718,11.1528736417686,0.9552998492979077,-7.395287958115179,-0.1644543639140112
HERC,HERCULES,Hercules Investments Ltd,Industrials,Industrial Machinery,509.824,159.32,91.36630824372759,0.7082791229016597,0.6022871184198091,1.9974391805377751,0.0
LAXMI,LAXMIINDIA,Laxmi India Finance Ltd,Financials,Specialized Finance,508.932298875,97.86,14.137008302083336,15.665114659936465,1.9734472018108489,-22.987329818210434,0.5032350826743297
SPRE,SPECIALITY,Speciality Restaurants Ltd,Consumer Discretionary,Restaurants & Cafes,508.25911780900003,106.94,23.40051186965921,6.698328501819554,1.5205047351213086,-6.192982456140353,1.489987662522533
GJAI,GUJAPOLLO,Gujarat Apollo Industries Ltd,Industrials,Industrial Machinery,508.22945,401.85,345.7343197278927,0.30207755378829776,1.0355756260570124,-8.462414578587694,2.5519969376036746
ISI,INDIAHOMES,India Homes Ltd,Materials,Iron & Steel,506.757017525,12.6,-37.817687875000004,-40.53236539624923,19.217179276640117,3.9603960396039644,-1.021209740769841
LAKS,LAKSHMIMIL,Lakshmi Mills Company Ltd,Consumer Discretionary,Textiles,505.915248,7500.0,-108.33302955032092,-0.5316787157738957,0.5697307942657012,-8.324165749908325,3.112626484821816
VINS,VINSYS,Vinsys IT Services India Ltd,Information Technology,IT Services & Consulting,505.727974785,357.25,16.835152289780293,25.868675995694293,3.85522164037963,-6.036296685954759,3.6859672035988935
